Date,Holiday,id,element,value
2010-11-11,Veterans Day,USW00094846,TMAX,194.0
2010-12-24,Christmas Day,USW00094846,TMAX,0.0
2010-07-05,Independence Day,USW00094846,TMAX,328.0
2010-12-31,New Year’s Day,USW00094846,TMAX,117.0
2010-01-01,New Year’s Day,USW00094846,TMAX,-89.0
2010-11-25,Thanksgiving Day,USW00094846,TMAX,39.0
2010-02-15,Washington’s Birthday,USW00094846,TMAX,-22.0
2010-01-18,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-6.0
2000-01-17,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-39.0
2000-11-23,Thanksgiving Day,USW00094846,TMAX,22.0
2000-11-10,Veterans Day,USW00094846,TMAX,61.0
2000-12-25,Christmas Day,USW00094846,TMAX,-83.0
2000-10-09,Columbus Day,USW00094846,TMAX,139.0
2000-09-04,Labor Day,USW00094846,TMAX,211.0
2000-07-04,Independence Day,USW00094846,TMAX,261.0
2000-05-29,Memorial Day,USW00094846,TMAX,194.0
2000-02-21,Washington’s Birthday,USW00094846,TMAX,83.0
2004-11-11,Veterans Day,USW00094846,TMAX,111.0
2004-10-11,Columbus Day,USW00094846,TMAX,172.0
2004-12-24,Christmas Day,USW00094846,TMAX,-111.0
2004-09-06,Labor Day,USW00094846,TMAX,267.0
2004-01-01,New Year's Day,USW00094846,TMAX,94.0
2004-05-31,Memorial Day,USW00094846,TMAX,189.0
2004-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-78.0
2004-12-31,New Year’s Day,USW00094846,TMAX,133.0
2004-07-05,Independence Day,USW00094846,TMAX,233.0
2004-02-16,Washington's Birthday,USW00094846,TMAX,-28.0
2004-11-25,Thanksgiving Day,USW00094846,TMAX,6.0
2014-11-11,Veterans Day,USW00094846,TMAX,144.0
2014-05-26,Memorial Day,USW00094846,TMAX,306.0
2014-09-01,Labor Day,USW00094846,TMAX,283.0
2014-02-17,Washington’s Birthday,USW00094846,TMAX,-21.0
2014-11-27,Thanksgiving Day,USW00094846,TMAX,-27.0
2014-07-04,Independence Day,USW00094846,TMAX,261.0
2014-12-25,Christmas Day,USW00094846,TMAX,56.0
2014-01-20,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,17.0
2014-10-13,Columbus Day,USW00094846,TMAX,194.0
2014-01-01,New Year’s Day,USW00094846,TMAX,-55.0
1998-02-16,Washington’s Birthday,USW00094846,TMAX,67.0
1998-12-25,Christmas Day,USW00094846,TMAX,6.0
