sid,season,number,basin,subbasin,name,iso_time,nature,latitude,longitude,wmo_wind,wmo_pressure,wmo_agency,track_type,dist2land,landfall,iflag,usa_agency,usa_latitude,usa_longitude,usa_record,usa_status,usa_wind,usa_pressure,usa_sshs,usa_r34_ne,usa_r34_se,usa_r34_sw,usa_r34_nw,usa_r50_ne,usa_r50_se,usa_r50_sw,usa_r50_nw,usa_r64_ne,usa_r64_se,usa_r64_sw,usa_r64_nw,usa_poci,usa_roci,usa_rmw,usa_eye,tokyo_latitude,tokyo_longitude,tokyo_grade,tokyo_wind,tokyo_pressure,tokyo_r50_dir,tokyo_r50_longitude,tokyo_r50_short,tokyo_r30_dir,tokyo_r30_long,tokyo_r30_short,tokyo_land,cma_latitude,cma_longitude,cma_cat,cma_wind,cma_pressure,hko_latitude,hko_longitude,hko_cat,hko_wind,hko_pressure,newdelhi_latitude,newdelhi_longitude,newdelhi_grade,newdelhi_wind,newdelhi_pressure,newdelhi_ci,newdelhi_dp,newdelhi_poci,reunion_latitude,reunion_longitude,reunion_type,reunion_wind,reunion_pressure,reunion_tnum,reunion_ci,reunion_rmw,reunion_r34_ne,reunion_r34_se,reunion_r34_sw,reunion_r34_nw,reunion_r50_ne,reunion_r50_se,reunion_r50_sw,reunion_r50_nw,reunion_r64_ne,reunion_r64_se,reunion_r64_sw,reunion_r64_nw,bom_latitude,bom_longitude,bom_type,bom_wind,bom_pressure,bom_tnum,bom_ci,bom_rmw,bom_r34_ne,bom_r34_se,bom_r34_sw,bom_r34_nw,bom_r50_ne,bom_r50_se,bom_r50_sw,bom_r50_nw,bom_r64_ne,bom_r64_se,bom_r64_sw,bom_r64_nw,bom_roci,bom_poci,bom_eye,bom_pos_method,bom_pressure_method,wellington_latitude,wellington_longitude,wellington_wind,wellington_pressure,nadi_latitude,nadi_longitude,nadi_cat,nadi_wind,nadi_pressure,ds824_latitude,ds824_longitude,ds824_stage,ds824_wind,ds824_pressure,td9636_latitude,td9636_longitude,td9636_stage,td9636_wind,td9636_pressure,td9635_latitude,td9635_longitude,td9635_wind,td9635_pressure,td9635_roci,neumann_latitude,neumann_longitude,neumann_class,neumann_wind,neumann_pressure,mlc_latitude,mlc_longitude,mlc_class,mlc_wind,mlc_pressure,usa_atcf_id,source_url,etl_timestamp
1961250N07173,1961,89,WP,MM,NANCY,9/12/1961 0:00:00,TS,15.5286,137.429,,890,tokyo,main,1337,1284,OOOO_____OOO__,jtwc_wp,15.5,137.5, , ,185,,5,,,,,,,,,,,,,,,, ,15.5,137.5,9,,890,0,,,0,,,0,15.6,137.3,6,194,888,15.6000,137.2,SuperT,165,890,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,137.5,TC,185,,15.5,137.5,4,185,,15.5,137.5,185,889,300,,, ,,,,, ,,,WP181961,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962106N10143,1962,35,WP,MM,GEORGIA,4/22/1962 12:00:00,TS,26.4286,150.643,,960,tokyo,main,1380,1286,OOOO_____OOO__,jtwc_wp,26.4,150.6, , ,80,,1,,,,,,,,,,,,,,,, ,26.2,151,9,,960,0,,,0,,,0,26.5,150.8,4,77,968,26.7000,150.3,T,70,960,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,150.6,TC,80,,26.4,150.6,4,82,,26.4,150.6,82,964,480,,, ,,,,, ,,,WP021962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962206N14140,1962,55,WP,MM,NORA,8/3/1962 12:00:00,MX,41.7778,137.07,,988,tokyo,main,229,72,OOOO_____OOO__,jtwc_wp,41.7,137.1, , ,35,,0,,,,,,,,,,,,,,,, ,42,137,9,,988,0,,,0,,,0,42,137,9,48,988,41.6000,137.1,TD,30,988,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7,137.1,TC,35,,41.7,137.1,2,35,,41.7,137.1,35,992,180,,, ,,,,, ,,,WP081962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962217N10142,1962,59,WP,MM,PATSY,8/8/1962 0:00:00,TS,11.8143,124.214,,990,tokyo,main,15,0,OOOO_____OOO__,jtwc_wp,11.9,124.1, , ,60,,0,,,,,,,,,,,,,,,, ,11.9,124.1,9,,990,0,,,0,,,0,11.3,125,3,58,995,11.9000,124,STS,50,975,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,124.1,TC,60,,11.9,124.1,2,60,,11.9,124.1,60,986,240,,, ,,,,, ,,,WP111962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962232N17149,1962,64,WP,MM,THELMA,8/26/1962 12:00:00,TS,39.1286,136.943,,1000,tokyo,main,189,189,OOOO_____OOO__,jtwc_wp,39.1,137, , ,40,,0,,,,,,,,,,,,,,,, ,39.5,137,2,,1000,0,,,0,,,0,39,136.7,2,38,1000,39.0000,136.9,TS,35,1000,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,137,TC,40,,39.1,137,2,40,,39.1,137,40,1002,180,,, ,,,,, ,,,WP141962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962241N14150,1962,71,WP,MM,AMY,9/5/1962 0:00:00,TS,23.9143,122.214,,940,tokyo,main,64,0,OOOO_____OOO__,jtwc_wp,24,122.3, , ,130,,4,,,,,,,,,,,,,,,, ,23.9,122,9,,940,0,,,0,,,0,23.6,122,5,97,950,23.9000,122.3,ST,90,950,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,122.3,TC,130,,24,122.3,4,130,,24,122.3,130,959,420,,, ,,,,, ,,,WP171962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962261N15121,1962,80,WP,MM,BABE:CARLA:CHARLOTTE:CLARA,9/21/1962 0:00:00,TS,17.6857,112.7,,995,tokyo,main,262,202,OOOO_____OOO__,jtwc_wp,17.7,112.7, , ,55,,0,,,,,,,,,,,,,,,, ,17.6,112.7,9,,995,0,,,0,,,0,17.8,112.7,3,58,990,17.6000,112.7,STS,50,985,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,112.7,TC,55,,17.7,112.7,2,55,,17.7,112.7,55,992,300,,, ,,,,, ,,,WP191962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962268N12144,1962,85,WP,MM,DINAH,9/27/1962 12:00:00,TS,13.8,139.5,,1000,tokyo,main,1521,1512,OOOO_____OOO__,jtwc_wp,13.9,139.5, , ,30,,-1,,,,,,,,,,,,,,,, ,13.8,139.7,2,,1000,0,,,0,,,0,13.3,139.5,1,29,1000,13.9000,139.3,TD,25,1002,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,139.5,TC,30,,13.9,139.5,1,30,,13.9,139.5,30,1002,300,,, ,,,,, ,,,WP201962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962272N10161,1962,87,WP,MM,EMMA:FREDA,10/3/1962 12:00:00,TS,17.4714,146.9,,970,tokyo,main,2063,2028,OOOO_____OOO__,jtwc_wp,17.5,147, , ,100,,3,,,,,,,,,,,,,,,, ,17.5,146.7,9,,970,0,,,0,,,0,17.5,146.8,5,87,961,17.3000,146.8,ST,95,945,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,147,TC,100,,17.5,147,4,102,,17.5,147,102,951,360,,, ,,,,, ,,,WP211962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
1962308N08138,1962,100,WP,MM,JEAN,11/8/1962 0:00:00,TS,14.4,115.629,,990,tokyo,main,475,475,OOOO_____OOO__,jtwc_wp,14.4,115.6, , ,90,,2,,,,,,,,,,,,,,,, ,14.5,115.6,9,,990,0,,,0,,,0,14.4,115.7,4,77,980,14.3000,115.7,T,70,965,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,115.6,TC,90,,14.4,115.6,4,88,,14.4,115.6,88,968,240,,, ,,,,, ,,,WP261962,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,8/14/2023 2:46:31
