VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
223020,Nyamulagira,14082,Confirmed Eruption,Historical Observations,2,7/25/2002,9/16/2002,-1.408,29.2
311161,Korovin,19765,Confirmed Eruption,Historical Observations,1,7/16/2002,,52.381,-174.166
263340,Raung,16162,Confirmed Eruption,Historical Observations,2,6/16/2002,8/25/2002,-8.119,114.056
351080,Galeras,11376,Confirmed Eruption,Historical Observations,1,6/7/2002,6/7/2002,1.22,-77.37
342110,Pacaya,19886,Confirmed Eruption,Historical Observations,1,5/30/2002,6/17/2002,14.382,-90.601
344020,San Cristobal,10889,Confirmed Eruption,Historical Observations,1,5/29/2002,12/16/2002,12.702,-87.004
252010,Langila,14998,Confirmed Eruption,Historical Observations,2,5/25/2002,4/9/2003,-5.525,148.42
242050,Monowai,14718,Confirmed Eruption,Hydrophonic,0,5/24/2002,5/24/2002,-25.887,-177.188
223030,Nyiragongo,14107,Confirmed Eruption,Historical Observations,2,5/17/2002,8/19/2021,-1.52,29.25
282060,Kikai,17001,Confirmed Eruption,Historical Observations,2,5/11/2002,7/16/2002,30.793,130.305
352020,Guagua Pichincha,11498,Confirmed Eruption,Historical Observations,1,4/16/2002,4/16/2002,-0.171,-78.598
300260,Klyuchevskoy,19479,Confirmed Eruption,Historical Observations,2,4/9/2002,6/9/2002,56.056,160.642
257060,Epi,15331,Confirmed Eruption,Historical Observations,1,3/16/2002,3/16/2002,-16.68,168.37
266100,Lokon-Empung,16461,Confirmed Eruption,Historical Observations,2,2/9/2002,5/16/2002,1.358,124.792
290360,Chikurachki,18855,Confirmed Eruption,Historical Observations,2,1/25/2002,4/22/2002,50.324,155.461
223030,Nyiragongo,14106,Confirmed Eruption,Historical Observations,1,1/17/2002,2/3/2002,-1.52,29.25
343100,San Miguel,10866,Confirmed Eruption,Historical Observations,1,1/16/2002,1/16/2002,13.434,-88.269
251020,Manam,14930,Confirmed Eruption,Historical Observations,3,1/13/2002,5/21/2002,-4.08,145.037
233020,"Fournaise, Piton de la",14382,Confirmed Eruption,Historical Observations,1,1/5/2002,1/16/2002,-21.244,55.708
342090,Fuego,10733,Confirmed Eruption,Historical Observations,3,1/4/2002,8/19/2021,14.473,-90.88
211060,Etna,13835,Confirmed Eruption,Historical Observations,1,12/16/2001,10/30/2002,37.748,14.999
300250,Bezymianny,19379,Confirmed Eruption,Historical Observations,2,12/10/2001,1/6/2002,55.972,160.595
360160,Kick 'em Jenny,12468,Confirmed Eruption,Hydrophonic,0,12/4/2001,12/6/2001,12.3,-61.64
352020,Guagua Pichincha,11497,Confirmed Eruption,Historical Observations,1,11/26/2001,11/26/2001,-0.171,-78.598
385052,Walvis Ridge at 33°S,13144,Confirmed Eruption,Historical Observations,0,11/24/2001,3/16/2002,-32.958,-5.22
300130,Karymsky,19187,Confirmed Eruption,Historical Observations,3,11/15/2001,4/1/2016,54.049,159.443
342110,Pacaya,19880,Confirmed Eruption,Historical Observations,1,10/31/2001,10/31/2001,14.382,-90.601
300100,Avachinsky,19104,Confirmed Eruption,Historical Observations,1,10/5/2001,10/5/2001,53.256,158.836
390081,Montagu Island,13205,Confirmed Eruption,Historical Observations,1,10/1/2001,9/20/2007,-58.445,-26.374
243091,Unnamed,14772,Confirmed Eruption,Historical Observations,2,9/27/2001,9/28/2001,-18.325,-174.365
261160,Talang,15494,Confirmed Eruption,Historical Observations,1,9/25/2001,11/15/2001,-0.979,100.681
284120,Ioto,18421,Confirmed Eruption,Historical Observations,1,9/21/2001,10/23/2001,24.751,141.289
252120,Ulawun,15065,Confirmed Eruption,Historical Observations,2,8/28/2001,8/28/2001,-5.05,151.33
300250,Bezymianny,19378,Confirmed Eruption,Historical Observations,3,7/23/2001,8/10/2001,55.972,160.595
262000,Krakatau,15625,Confirmed Eruption,Historical Observations,1,7/21/2001,9/17/2001,-6.102,105.423
211060,Etna,13832,Confirmed Eruption,Historical Observations,2,7/17/2001,8/9/2001,37.748,14.999
251020,Manam,14929,Confirmed Eruption,Historical Observations,2,6/14/2001,6/25/2001,-4.08,145.037
233020,"Fournaise, Piton de la",14381,Confirmed Eruption,Historical Observations,1,6/11/2001,7/7/2001,-21.244,55.708
257050,Lopevi,15317,Confirmed Eruption,Historical Observations,3,6/8/2001,6/19/2001,-16.507,168.346
268030,Ibu,16580,Confirmed Eruption,Historical Observations,0,5/28/2001,10/3/2001,1.488,127.63
261170,Kerinci,15528,Confirmed Eruption,Historical Observations,2,5/12/2001,8/27/2002,-1.697,101.264
344020,San Cristobal,10888,Confirmed Eruption,Historical Observations,1,5/11/2001,12/9/2001,12.702,-87.004
234011,McDonald Islands,14397,Confirmed Eruption,Historical Observations,1,5/3/2001,,-53.03,72.6
284141,Ahyi,18474,Confirmed Eruption,Hydrophonic,0,4/24/2001,4/25/2001,20.42,145.03
